Joint,Source,AxialChordSaddle,AxialChordCrown,AxialChordSide,AxialBraceSaddle,AxialBraceCrown,AxialBraceSide,OPBChordSaddle,OPBChordSide,OPBBraceSaddle,OPBBraceSide,IPBChordCrown,IPBChordSide,IPBBraceCrown,IPBBraceSide
T202,Experiment,6.1,3.2,6.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T202,Efthymiou,5.4,1.9,NaN,4.8,2.2,NaN,5,NaN,4.9,NaN,2.3,NaN,2.6,NaN
T202,FEA,4.3,1.8,4.3,5.3,2.3,5.3,4.1,4.1,5.1,5.1,1.6,1.8,2.4,2.4
T202,FEA/2,5.1,2.2,5.1,6.5,2.9,6.5,4.8,4.8,6.2,6.2,2,2,2.9,2.9
T203,Experiment,6.1,2.9,6.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T203,Efthymiou,5.4,1.9,NaN,4.8,2.2,NaN,5,NaN,4.9,NaN,2.3,NaN,2.6,NaN
T203,FEA,4.3,1.8,4.3,5.3,2.3,5.3,4.1,4.1,5.1,5.1,1.6,1.8,2.4,2.4
T203,FEA/2,5.1,2.2,5.1,6.5,2.9,6.5,4.8,4.8,6.2,6.2,2,2,2.9,2.9
T204C,Experiment,5.7,2.8,5.7,5.7,1.6,5.7,4.4,4.4,4.5,4.5,2,2,1.9,2.3
T204C,Efthymiou,5.4,1.9,NaN,4.8,2.2,NaN,5,NaN,5,NaN,2.3,NaN,2.6,NaN
T204C,FEA,5.1,2,5.1,6.4,2.4,6.4,4.7,4.7,5.9,5.9,1.9,2,2.8,2.8
T204C,FEA/2,5.1,2.2,5.1,6.5,2.9,6.5,4.8,4.8,6.2,6.2,2.0,2.0,2.9,2.9
T205,Experiment,6.3,3,6.3,6.4,2.7,6.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T205,Efthymiou,5.4,1.9,NaN,4.8,2.2,NaN,5,NaN,4.9,NaN,2.3,NaN,2.6,NaN
T205,FEA,4.3,1.8,4.3,5.3,2.3,5.3,4.1,4.1,5.1,5.1,1.6,1.8,2.4,2.4
T205,FEA/2,5.1,2.2,5.1,6.5,2.9,6.5,4.8,4.8,6.2,6.2,2,2,2.9,2.9
T206,Experiment,6.7,3.2,6.7,5.3,1.7,5.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T206,Efthymiou,5.4,1.9,NaN,4.8,2.2,NaN,5,NaN,4.9,NaN,2.3,NaN,2.6,NaN
T206,FEA,4.3,1.8,4.3,5.3,2.3,5.3,4.1,4.1,5.1,5.1,1.6,1.8,2.4,2.4
T206,FEA/2,5.1,2.2,5.1,6.5,2.9,6.5,4.8,4.8,6.2,6.2,2,2,2.9,2.9
T207,Experiment,6.5,3.6,6.5,5.6,2.6,5.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T207,Efthymiou,5.4,1.9,NaN,4.8,2.2,NaN,5,NaN,4.9,NaN,2.3,NaN,2.6,NaN
T207,FEA,4.3,1.8,4.3,5.3,2.3,5.3,4.1,4.1,5.1,5.1,1.6,1.8,2.4,2.4
T207,FEA/2,5.1,2.2,5.1,6.5,2.9,6.5,4.8,4.8,6.2,6.2,2,2,2.9,2.9
T208,Experiment,5.6,3,5.6,5.5,2.5,5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T208,Efthymiou,5.4,1.9,NaN,4.8,2.2,NaN,5,NaN,4.9,NaN,2.3,NaN,2.6,NaN
T208,FEA,4.3,1.8,4.3,5.3,2.3,5.3,4.1,4.1,5.1,5.1,1.6,1.8,2.4,2.4
T208,FEA/2,5.1,2.2,5.1,6.5,2.9,6.5,4.8,4.8,6.2,6.2,2,2,2.9,2.9
T209,Experiment,5.5,2.8,5.5,5.9,2.2,5.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T209,Efthymiou,5.4,1.9,NaN,4.8,2.2,NaN,5,NaN,4.9,NaN,2.3,NaN,2.6,NaN
T209,FEA,4.3,1.8,4.3,5.3,2.3,5.3,4.1,4.1,5.1,5.1,1.6,1.8,2.4,2.4
T209,FEA/2,5.1,2.2,5.1,6.5,2.9,6.5,4.8,4.8,6.2,6.2,2,2,2.9,2.9
T210,Experiment,5.5,2.9,5.5,6.7,2.3,6.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
