Joint,Source,AxialChordSaddle,AxialChordCrown,AxialChordSide,AxialBraceSaddle,AxialBraceCrown,AxialBraceSide,OPBChordSaddle,OPBChordSide,OPBBraceSaddle,OPBBraceSide,IPBChordCrown,IPBChordSide,IPBBraceCrown,IPBBraceSide
T23/2,Efthymiou,4.5,2.3,NaN,5.6,3,NaN,2.4,NaN,3,NaN,1.5,NaN,2.2,NaN
T23/2,FEA,4.3,2,4.3,5.8,2.7,5.8,2.2,2.2,2.8,2.8,1.4,1.4,2.1,2.1
T23/2,FEA/2,4.8,2.2,4.8,7.8,4,7.8,2.5,2.5,3.6,3.6,1.5,1.5,2.7,2.7
T23/3,Experiment,NaN,NaN,NaN,NaN,NaN,NaN,2.5,2.5,1.9,1.9,NaN,NaN,NaN,NaN
T23/3,Efthymiou,4.5,2.3,NaN,5.6,3,NaN,2.4,NaN,3,NaN,1.5,NaN,2.2,NaN
T23/3,FEA,4.3,2,4.3,5.8,2.7,5.8,2.2,2.2,2.8,2.8,1.4,1.4,2.1,2.1
T23/3,FEA/2,4.8,2.2,4.8,7.8,4,7.8,2.5,2.5,3.6,3.6,1.5,1.5,2.7,2.7
T24/1,Experiment,NaN,NaN,NaN,NaN,NaN,NaN,1.8,1.8,1.7,1.7,NaN,NaN,NaN,NaN
T24/1,Efthymiou,3.1,1.7,NaN,5,3,NaN,1.7,NaN,2.6,NaN,1.1,NaN,2.1,NaN
T24/1,FEA,3.1,1.6,3.1,4.8,2.7,4.8,1.8,1.8,2.5,2.5,1.1,1.1,2,2
T24/1,FEA/2,3.4,1.6,3.4,6.2,3.7,6.2,1.9,1.9,3.1,3.1,1.1,1.1,2.5,2.5
T24/2,Experiment,NaN,NaN,NaN,NaN,NaN,NaN,1.6,1.6,1.7,1.7,NaN,NaN,NaN,NaN
T24/2,Efthymiou,3.1,1.7,NaN,5,3,NaN,1.7,NaN,2.6,NaN,1.1,NaN,2.1,NaN
T24/2,FEA,3.1,1.6,3.1,4.8,2.7,4.8,1.8,1.8,2.5,2.5,1.1,1.1,2,2
